date,rainfall_mm,SPI_1,SPI_category
2011-01-01,15.73,-0.9691494038618931,Near Normal
2011-02-01,67.24,1.1323133827142686,Moderately Wet
2011-03-01,54.79,-0.7415873802886357,Near Normal
2011-04-01,79.67,-0.49736889670856327,Near Normal
2011-05-01,128.28,-0.2659381592925246,Near Normal
2011-06-01,101.17,-0.5314628746211797,Near Normal
2011-07-01,59.92,-0.8584513975018248,Near Normal
2011-08-01,81.16,-0.3267620964429908,Near Normal
2011-09-01,54.7,-0.7893039336450078,Near Normal
2011-10-01,20.9,-1.399265303222331,Moderate Drought
2011-11-01,165.42000000000002,1.9347620492824165,Very Wet
2011-12-01,88.75,1.3262228729074184,Moderately Wet
2012-01-01,8.09,-1.3702963975881592,Moderate Drought
2012-02-01,39.91,-0.009225436615593162,Near Normal
2012-03-01,135.06,1.6809156495301485,Very Wet
2012-04-01,116.97,0.11306425992416422,Near Normal
2012-05-01,74.08,-1.1328380543947925,Moderate Drought
2012-06-01,48.97,-1.46480190920266,Moderate Drought
2012-07-01,37.69,-1.2918973830516125,Moderate Drought
2012-08-01,65.25,-0.5795338603685236,Near Normal
2012-09-01,137.82999999999998,0.5839915186567541,Near Normal
2012-10-01,68.58,-0.514982583041769,Near Normal
2012-11-01,29.86,-0.8709660302679506,Near Normal
2012-12-01,25.36,-0.8953242673646181,Near Normal
2013-01-01,61.99,1.4597851419204468,Moderately Wet
2013-02-01,61.2,0.8800303798327336,Near Normal
2013-03-01,86.27000000000001,0.20846114816153688,Near Normal
2013-04-01,140.41,0.49667158409229106,Near Normal
2013-05-01,164.13,0.3074633395896948,Near Normal
2013-06-01,151.95,0.3764864774103828,Near Normal
2013-07-01,121.42,0.3406906677843625,Near Normal
2013-08-01,163.07,0.9745914662936778,Near Normal
2013-09-01,55.94,-0.7688193148448854,Near Normal
2013-10-01,172.04,1.4038070610413043,Moderately Wet
2013-11-01,54.7,-0.3568447150124835,Near Normal
2013-12-01,36.120000000000005,-0.5182324984842407,Near Normal
2014-01-01,15.749999999999998,-0.9680992808416673,Near Normal
2014-02-01,23.2,-0.7071805654484504,Near Normal
2014-03-01,40.36,-1.177076588215446,Moderate Drought
2014-04-01,99.47,-0.17333199318770529,Near Normal
2014-05-01,90.64,-0.867969746961332,Near Normal
2014-06-01,184.5,0.9584823696637774,Near Normal
2014-07-01,59.63,-0.8641058885413856,Near Normal
2014-08-01,57.45,-0.7034571638643851,Near Normal
2014-09-01,147.41,0.7422517187415719,Near Normal
2014-10-01,131.39,0.6499041127330021,Near Normal
2014-11-01,43.45,-0.5896895135883291,Near Normal
2014-12-01,57.52,0.2317455548652084,Near Normal
2015-01-01,18.29,-0.8347336572729872,Near Normal
2015-02-01,23.45,-0.6967383881768637,Near Normal
2015-03-01,41.78,-1.1342217943654063,Moderate Drought
2015-04-01,122.77,0.20798416095552663,Near Normal
2015-05-01,265.25,1.9248234390867671,Very Wet
2015-06-01,85.18,-0.8173650041797594,Near Normal
2015-07-01,132.35,0.5538064852409157,Near Normal
2015-08-01,148.01,0.7353241649285913,Near Normal
2015-09-01,66.67999999999999,-0.5913960842696308,Near Normal
2015-10-01,59.11,-0.6906150780105172,Near Normal
2015-11-01,150.03,1.6162303648306595,Very Wet
2015-12-01,111.43,2.1210594266441247,Extremely Wet
2016-01-01,26.74,-0.3910566812275749,Near Normal
2016-02-01,15.87,-1.0133452030513737,Moderate Drought
2016-03-01,58.58,-0.6272073319142344,Near Normal
2016-04-01,127.79,0.29013897184818876,Near Normal
2016-05-01,121.21,-0.37901901276804195,Near Normal
2016-06-01,61.2,-1.2461287982269607,Moderate Drought
2016-07-01,161.94,1.1307595537257658,Moderately Wet
2016-08-01,176.16,1.182560189724553,Moderately Wet
2016-09-01,165.71,1.04456504458209,Moderately Wet
2016-10-01,150.02,0.9954197812934863,Near Normal
2016-11-01,33.16,-0.8026648893523693,Near Normal
